\\ \hline
3494.52& 5335.24& 4122.71& 3497.14& 8069.29& 5548.10& 3493.41& 14936.63& 9812.97& \\ \hline
4.95& 6.57& 4.99& 4.94& 8.04& 5.38& 4.94& 10.48& 6.38& \\ \hline
72.05& 81.81& 74.70& 72.05& 89.53& 78.40& 72.05& 99.69& 85.99& \\ \hline
3495.86& 5322.63& 3619.52& 3497.82& 8103.66& 4948.92& 3488.99& 14938.64& 8978.57& \\ \hline
4.95& 6.56& 4.91& 4.96& 8.06& 5.23& 4.95& 10.47& 6.07& \\ \hline
72.05& 81.81& 70.79& 72.05& 89.53& 73.92& 72.05& 99.69& 80.16& \\ \hline
3489.67& 5327.58& 11477.27& 3505.39& 8047.14& 13537.64& 3492.78& 14944.08& 18903.26& \\ \hline
4.95& 6.57& 6.00& 4.95& 8.05& 6.71& 4.95& 10.50& 8.44& \\ \hline
72.05& 81.81& 86.01& 72.05& 89.53& 89.86& 72.05& 99.69& 96.19& \\ \hline
3494.41& 5321.65& 10878.65& 3498.56& 8082.99& 12951.48& 3510.20& 14922.98& 18500.47& \\ \hline
4.95& 6.57& 5.57& 4.95& 8.04& 6.38& 4.95& 10.49& 8.33& \\ \hline
72.05& 81.81& 81.29& 72.05& 89.53& 86.88& 72.05& 99.69& 96.93& \\ \hline
3503.25& 5335.55& 14861.83& 3477.40& 8043.07& 16997.22& 3482.02& 14893.66& 22555.09& \\ \hline
4.93& 6.57& 7.05& 4.95& 8.05& 8.41& 4.94& 10.48& 10.72& \\ \hline
72.05& 81.81& 97.07& 72.05& 89.53& 110.83& 72.05& 99.69& 128.35& \\ \hline
3486.83& 5351.28& 3649.67& 3487.44& 8070.04& 4992.27& 3490.08& 14921.84& 9030.16& \\ \hline
4.95& 6.57& 4.88& 4.95& 8.05& 5.20& 4.94& 10.50& 6.04& \\ \hline
72.05& 81.81& 70.63& 72.05& 89.53& 73.74& 72.05& 99.69& 80.09& 
